           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,       LQWSSOL4,       FZWSSOL4,       ALWSSOL4,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           2000,            258,   41.04230    ,   19.87733    ,   48.40332    ,   3.722684    ,   1.015809    ,   43.66478    ,  -11.64941    ,  0.2265163    ,  0.8312589    ,   2.751040    ,  0.3097855    ,  0.3856508E-01,   2.402690    ,  0.9969055E-03,  0.7888680E-01,  0.2747572    ,  0.1324976E-02,  0.4882293    ,   25.32865    ,  0.5529725E-03,   25.32921    ,   64.91315    ,  0.4114517E-07,   64.91315    ,   197.9147    ,   0.000000    ,   197.9147    ,   871.1992    ,   0.000000    ,   871.1992    ,   1159.356    ,  0.5530136E-03,   1159.356    ,   9.864507    ,   0.000000    ,   1170.065    ,  -3.172363    ,
           2000,            259,   41.45579    ,   21.13448    ,   51.16356    ,   4.135792    ,   1.050899    ,   45.97681    ,  -12.63831    ,  0.4134801    ,   1.257154    ,   2.760243    ,  0.4131079    ,  0.3508933E-01,   2.312045    ,  0.5841309E-03,  0.6728389E-01,  0.2062679    ,  0.1683534E-02,  0.4885496    ,   25.04478    ,  0.3374664E-03,   25.04512    ,   64.32124    ,   0.000000    ,   64.32124    ,   196.7159    ,   0.000000    ,   196.7159    ,   870.2998    ,   0.000000    ,   870.2998    ,   1156.382    ,  0.3374664E-03,   1156.382    ,   9.863336    ,   0.000000    ,   1167.010    ,  -3.055054    ,
           2000,            260,   42.15801    ,   22.34519    ,   53.84430    ,   4.565780    ,   1.082909    ,   48.19555    ,  -13.70984    ,  0.7022387    ,   1.210706    ,   2.680730    ,  0.4299884    ,  0.3201008E-01,   2.218731    ,  0.3272391E-03,  0.4807282E-01,  0.1523593    ,  0.1219089E-02,  0.4629826    ,   24.66114    ,  0.5508459E-04,   24.66120    ,   63.72411    ,   0.000000    ,   63.72411    ,   195.5700    ,   0.000000    ,   195.5700    ,   869.2479    ,   0.000000    ,   869.2479    ,   1153.203    ,  0.5508459E-04,   1153.203    ,   9.845098    ,   0.000000    ,   1163.713    ,  -3.297119    ,
           2000,            261,   45.35368    ,   23.54453    ,   56.39196    ,   4.952307    ,   1.118491    ,   50.32110    ,  -14.74548    ,   3.195674    ,   1.199336    ,   2.547668    ,  0.3865260    ,  0.3558228E-01,   2.125560    ,  0.2069902E-04,  0.2044382    ,  0.1059725    ,  0.1670180E-02,  0.5154768    ,   24.97214    ,   0.000000    ,   24.97214    ,   63.71548    ,   0.000000    ,   63.71548    ,   194.7556    ,   0.000000    ,   194.7556    ,   868.0986    ,   0.000000    ,   868.0986    ,   1151.542    ,   0.000000    ,   1151.542    ,   9.813445    ,   0.000000    ,   1162.183    ,  -1.530151    ,
           2000,            262,   46.50105    ,   25.16100    ,   58.80499    ,   5.295084    ,   1.153644    ,   52.35620    ,  -15.72864    ,   1.147377    ,   1.616474    ,   2.413043    ,  0.3427778    ,  0.3515288E-01,   2.035112    ,  0.8280908E-02,  0.1763720    ,  0.8177555E-01,  0.8502372E-03,  0.5608518    ,   25.25018    ,  0.6420707E-04,   25.25024    ,   63.85283    ,   0.000000    ,   63.85283    ,   194.3723    ,   0.000000    ,   194.3723    ,   866.9875    ,   0.000000    ,   866.9875    ,   1150.463    ,  0.6420707E-04,   1150.463    ,   9.772567    ,   0.000000    ,   1161.064    ,  -1.119141    ,
           2000,            263,   46.83103    ,   26.49181    ,   61.14486    ,   5.654969    ,   1.183672    ,   54.30618    ,  -16.77100    ,  0.3299962    ,   1.330805    ,   2.339868    ,  0.3598828    ,  0.3002809E-01,   1.949958    ,  0.4018967E-02,  0.4172394E-01,  0.7931940E-01,  0.3942328E-03,  0.4817240    ,   24.58638    ,  0.1504389E-02,   24.58788    ,   63.32566    ,   0.000000    ,   63.32566    ,   193.7781    ,   0.000000    ,   193.7781    ,   865.9360    ,   0.000000    ,   865.9360    ,   1147.626    ,  0.1504389E-02,   1147.628    ,   9.727272    ,   0.000000    ,   1157.962    ,  -3.101196    ,
           2000,            264,   49.52895    ,   27.65616    ,   63.23561    ,   5.845615    ,   1.213164    ,   56.17679    ,  -17.78357    ,   2.697903    ,   1.164357    ,   2.090747    ,  0.1906456    ,  0.2949207E-01,   1.870610    ,  0.2024220E-01,  0.2330623    ,  0.1224182    ,  0.1032278E-02,  0.4479295    ,   24.72523    ,  0.1062158E-02,   24.72629    ,   63.20931    ,   0.000000    ,   63.20931    ,   193.1867    ,   0.000000    ,   193.1867    ,   864.8599    ,   0.000000    ,   864.8599    ,   1145.981    ,  0.1062158E-02,   1145.982    ,   9.679474    ,   0.000000    ,   1156.487    ,  -1.475830    ,
           2000,            265,   49.75962    ,   29.27554    ,   65.28011    ,   6.066839    ,   1.239903    ,   57.97333    ,  -18.79785    ,  0.2306918    ,   1.619379    ,   2.044477    ,  0.2212247    ,  0.2673871E-01,   1.796513    ,  0.5715291E-01,  0.5707524E-01,  0.2007040    ,  0.3425993E-03,  0.3133686    ,   24.47259    ,  0.1093489    ,   24.58194    ,   63.05655    ,   0.000000    ,   63.05655    ,   192.7211    ,   0.000000    ,   192.7211    ,   863.7947    ,   0.000000    ,   863.7947    ,   1144.045    ,  0.1093489    ,   1144.154    ,   9.629380    ,   0.000000    ,   1154.412    ,  -2.074097    ,
           2000,            266,   49.76940    ,   30.46519    ,   67.19459    ,   6.229957    ,   1.264008    ,   59.70058    ,  -19.86902    ,  0.9739873E-02,   1.189637    ,   1.914474    ,  0.1631173    ,  0.2410536E-01,   1.727251    ,  0.7535593E-02,  0.1294151E-02,  0.2565444    ,  0.1211566E-03,  0.1355567    ,   23.21064    ,  0.9054115    ,   24.11605    ,   62.27335    ,  0.1315815E-05,   62.27335    ,   192.0558    ,   0.000000    ,   192.0558    ,   862.7158    ,   0.000000    ,   862.7158    ,   1140.255    ,  0.9054129    ,   1141.161    ,   9.577528    ,   0.000000    ,   1151.140    ,  -3.272949    ,
           2000,            267,   49.77237    ,   31.56975    ,   69.07631    ,   6.427655    ,   1.286448    ,   61.36217    ,  -20.97437    ,  0.2971176E-02,   1.104566    ,   1.881730    ,  0.1976995    ,  0.2243993E-01,   1.661590    ,  0.5296225E-03,  0.1646979E-03,  0.2718392    ,  0.3190933E-03,  0.7078022E-01,   23.15402    ,  0.7055612    ,   23.85958    ,   61.61324    ,  0.9325950E-04,   61.61333    ,   191.3151    ,   0.000000    ,   191.3151    ,   861.5579    ,   0.000000    ,   861.5579    ,   1137.640    ,  0.7056544    ,   1138.346    ,   9.522807    ,   0.000000    ,   1148.212    ,  -2.927246    ,
           2000,            268,   49.78513    ,   32.52199    ,   70.91772    ,   6.649354    ,   1.307333    ,   62.96098    ,  -22.09985    ,  0.1276818E-01,  0.9522266    ,   1.841395    ,  0.2216976    ,  0.2088515E-01,   1.598812    ,  0.4785052E-03,  0.6877026E-03,  0.2608663    ,  0.3518628E-03,  0.4775412E-01,   23.34390    ,  0.2913145    ,   23.63522    ,   61.15521    ,  0.8407214E-03,   61.15606    ,   190.5775    ,   0.000000    ,   190.5775    ,   860.3770    ,   0.000000    ,   860.3770    ,   1135.454    ,  0.2921552    ,   1135.746    ,   9.464826    ,   0.000000    ,   1145.521    ,  -2.691650    ,
           2000,            269,   49.80132    ,   33.40057    ,   72.71429    ,   6.887343    ,   1.326894    ,   64.50000    ,  -23.23547    ,  0.1621519E-01,  0.8785791    ,   1.796562    ,  0.2379901    ,  0.1956075E-01,   1.539011    ,  0.5883682E-03,  0.8837886E-03,  0.2377523    ,  0.3649204E-03,  0.3841741E-01,   23.25279    ,  0.1533129    ,   23.40611    ,   60.83685    ,  0.1160964E-02,   60.83801    ,   189.8841    ,   0.000000    ,   189.8841    ,   859.1998    ,   0.000000    ,   859.1998    ,   1133.173    ,  0.1544739    ,   1133.328    ,   9.404501    ,   0.000000    ,   1143.011    ,  -2.510010    ,
           2000,            270,   49.83078    ,   34.30731    ,   74.44359    ,   7.115856    ,   1.345286    ,   65.98242    ,  -24.37720    ,  0.2944819E-01,  0.9067445    ,   1.729310    ,  0.2285128    ,  0.1839169E-01,   1.482406    ,  0.8531394E-03,  0.1728794E-02,  0.1925915    ,  0.2959383E-03,  0.3037360E-01,   23.08280    ,  0.9123397E-01,   23.17403    ,   60.55758    ,  0.7200934E-03,   60.55829    ,   189.2403    ,   0.000000    ,   189.2403    ,   858.0281    ,   0.000000    ,   858.0281    ,   1130.909    ,  0.9195406E-01,   1131.001    ,   9.342921    ,   0.000000    ,   1140.569    ,  -2.441406    ,
           2000,            271,   49.89464    ,   35.29964    ,   76.09885    ,   7.324689    ,   1.362658    ,   67.41145    ,  -25.52588    ,  0.6385726E-01,  0.9923357    ,   1.655232    ,  0.2088347    ,  0.1737178E-01,   1.429026    ,  0.5293735E-03,  0.2093386E-02,  0.1419974    ,  0.2258121E-03,  0.2164895E-01,   22.83700    ,  0.7427115E-01,   22.91127    ,   60.24792    ,  0.5560898E-03,   60.24846    ,   188.6342    ,   0.000000    ,   188.6342    ,   856.8688    ,   0.000000    ,   856.8688    ,   1128.588    ,  0.7482724E-01,   1128.663    ,   9.280791    ,   0.000000    ,   1138.110    ,  -2.459351    ,
           2000,            272,   51.17542    ,   36.26465    ,   77.63847    ,   7.468742    ,   1.379497    ,   68.79018    ,  -26.66663    ,   1.280784    ,  0.9650093    ,   1.539618    ,  0.1440564    ,  0.1683955E-01,   1.378722    ,  0.1926266E-02,  0.6792443E-01,  0.1013541    ,  0.1421715E-03,  0.1946050E-01,   22.74226    ,  0.6327391E-01,   22.80554    ,   60.00734    ,  0.8610971E-04,   60.00743    ,   188.0819    ,   0.000000    ,   188.0819    ,   855.7173    ,   0.000000    ,   855.7173    ,   1126.549    ,  0.6336002E-01,   1126.612    ,   9.218471    ,   0.000000    ,   1136.022    ,  -2.088257    ,
           2000,            273,   58.77077    ,   37.45995    ,   79.21987    ,   7.681720    ,   1.416715    ,   70.12146    ,  -27.62012    ,   7.595354    ,   1.195281    ,   1.581416    ,  0.2129740    ,  0.3721807E-01,   1.331224    ,  0.3849305E-02,  0.2794212    ,  0.8085276E-01,  0.5101921E-03,  0.2078461    ,   25.18472    ,  0.2334761E-01,   25.20806    ,   61.68626    ,  0.8681233E-04,   61.68634    ,   187.9633    ,   0.000000    ,   187.9633    ,   854.6014    ,   0.000000    ,   854.6014    ,   1129.436    ,  0.2343442E-01,   1129.459    ,   9.156071    ,   0.000000    ,   1139.187    ,   3.165771    ,
           2000,            274,   61.17416    ,   39.07405    ,   80.75752    ,   7.891946    ,   1.456972    ,   71.40863    ,  -28.44202    ,   2.403391    ,   1.614107    ,   1.537662    ,  0.2102258    ,  0.4025651E-01,   1.287180    ,  0.3058580E-01,  0.1017498    ,  0.1097987    ,  0.6560112E-03,  0.3691054    ,   25.37699    ,  0.3425903E-01,   25.41125    ,   63.43243    ,   0.000000    ,   63.43243    ,   188.9833    ,   0.000000    ,   188.9833    ,   853.6912    ,   0.000000    ,   853.6912    ,   1131.484    ,  0.3425903E-01,   1131.518    ,   9.095518    ,   0.000000    ,   1141.226    ,   2.038452    ,
